CustomerID,Quantity,UnitPrice,dayth,hour,weekday
12747,12,2.55,0,15.633333333333333,6
12747,6,2.55,0,15.633333333333333,6
12747,16,1.69,0,15.633333333333333,6
12747,24,1.65,0,15.633333333333333,6
12747,6,5.45,0,15.633333333333333,6
12747,36,5.55,0,15.633333333333333,6
12747,8,1.69,0,15.633333333333333,6
12747,16,5.95,8,10.683333333333334,0
12747,2,7.95,8,10.683333333333334,0
12747,24,2.55,8,10.683333333333334,0
12747,24,1.69,8,10.683333333333334,0
12747,12,1.65,8,10.683333333333334,0
12747,3,5.95,8,10.683333333333334,0
12747,12,5.55,8,10.683333333333334,0
12747,12,2.55,8,10.683333333333334,0
12820,24,0.55,0,12.566666666666666,0
12820,24,0.55,0,12.566666666666666,0
12820,6,2.95,0,12.566666666666666,0
12820,24,0.29,0,12.566666666666666,0
12820,12,1.65,0,12.566666666666666,0
12820,12,0.85,0,12.566666666666666,0
12820,12,1.25,0,12.566666666666666,0
12820,6,2.95,0,12.566666666666666,0
12820,6,2.95,0,12.566666666666666,0
12820,10,1.95,0,12.566666666666666,0
12820,10,1.95,0,12.566666666666666,0
12821,8,2.49,0,15.85,0
12821,12,0.85,0,15.85,0
12821,12,1.65,0,15.85,0
12821,12,0.85,0,15.85,0
12821,24,0.65,0,15.85,0
12821,2,8.5,0,15.85,0
12823,40,7.65,0,12.25,2
12823,30,7.65,7,15.05,2
12824,12,0.42,0,12.816666666666666,1
12824,12,0.42,0,12.816666666666666,1
12824,2,8.25,0,12.816666666666666,1
12824,2,8.25,0,12.816666666666666,1
12824,6,2.89,0,12.816666666666666,1
12824,6,2.89,0,12.816666666666666,1
12824,12,1.65,0,12.816666666666666,1
12824,16,0.83,0,12.816666666666666,1
12824,6,2.95,0,12.816666666666666,1
12824,12,2.89,0,12.816666666666666,1
12824,12,1.25,0,12.816666666666666,1
12824,4,3.95,0,12.816666666666666,1
12824,12,0.85,0,12.816666666666666,1
12824,12,0.83,0,12.816666666666666,1
12824,6,7.95,0,12.816666666666666,1
12824,4,3.75,0,12.816666666666666,1
12824,6,3.75,0,12.816666666666666,1
12824,12,1.25,0,12.816666666666666,1
12824,12,0.83,0,12.816666666666666,1
12824,12,0.83,0,12.816666666666666,1
12824,6,2.95,0,12.816666666666666,1
12824,12,1.25,0,12.816666666666666,1
12824,12,0.85,0,12.816666666666666,1
12824,12,0.83,0,12.816666666666666,1
12824,12,0.83,0,12.816666666666666,1
12827,12,0.83,0,15.733333333333333,2
12827,12,1.25,0,15.733333333333333,2
12827,12,0.42,0,15.733333333333333,2
12827,4,3.75,0,15.733333333333333,2
12827,8,1.95,0,15.733333333333333,2
12827,6,3.25,0,15.733333333333333,2
12827,4,4.95,0,15.733333333333333,2
